Type,ID,Name (Bangla),Name (English),Where,Phone,When,Currently verified?,Exists? (Y/N),Phone correct? (Y/N),Address correct? (Y/N),Notes / corrections
Service,suhrawardy,শহীদ সোহরাওয়ার্দী মেডিকেল কলেজ হাসপাতাল,Shaheed Suhrawardy Medical College Hospital,Sher-e-Bangla Nagar,02-9130800,24/7 emergency,NO,,,,
Service,shishu,ঢাকা শিশু হাসপাতাল,Dhaka Shishu (Children) Hospital,Sher-e-Bangla Nagar,02-44827371,24/7 emergency,NO,,,,
Service,nikdu,জাতীয় কিডনি রোগ ও ইউরোলজি ইনস্টিটিউট,National Institute of Kidney Diseases & Urology,Sher-e-Bangla Nagar,02-9133398,8am–2:30pm (OPD),NO,,,,
Service,nimh,জাতীয় মানসিক স্বাস্থ্য ইনস্টিটিউট,National Institute of Mental Health,Sher-e-Bangla Nagar,02-9118171,8am–2:30pm (OPD),NO,,,,
Service,marie-stopes-mirpur,"মেরি স্টোপস ক্লিনিক, মিরপুর","Marie Stopes Clinic, Mirpur",Mirpur,16732,9am–6pm,NO,,,,
Service,community-clinic-mirpur,কমিউনিটি ক্লিনিক / নগর স্বাস্থ্যকেন্দ্র (মিরপুর),Community Clinic / Urban Health Centre (Mirpur),Mirpur (multiple wards),333,9am–3pm,NO,,,,
Service,tcb-mirpur,টিসিবি ফ্যামিলি কার্ড পণ্য বিক্রয় কেন্দ্র,TCB Family Card subsidised goods point,Mirpur (rotating trucks),333,Varies — ask local ward office,NO,,,,
Service,anjuman,আঞ্জুমান মুফিদুল ইসলাম,Anjuman Mufidul Islam,Kakrail / city-wide,02-47119229,9am–5pm,NO,,,,
Service,brac-mirpur,"ব্র্যাক এলাকা অফিস, মিরপুর","BRAC Area Office, Mirpur",Mirpur,16445,9am–5pm (Sun–Thu),NO,,,,
Service,samaj-seba-mirpur,উপজেলা/থানা সমাজসেবা কার্যালয় (মিরপুর),Social Services Office (Mirpur),Mirpur,333,9am–5pm (Sun–Thu),NO,,,,
Service,mosque-zakat-mirpur,স্থানীয় মসজিদ যাকাত তহবিল (মিরপুর),Local Mosque Zakat Fund (Mirpur),Mirpur (ask local mosque),—,After prayers / Ramadan,NO,,,,
Event,medical-camp-mirpur-1,বিনা মূল্যে স্বাস্থ্য পরীক্ষা ও পরামর্শ,Free health check-up & consultation,মিরপুর ১ পার্ক পাশে সম্প্রদায় কেন্দ্র,16732,2026-06-21 09:00–14:00,NO,,,,
Event,food-drive-mirpur-2,ঈদ পূর্ব খাবার ও কাপড় বিতরণ,Pre-Eid food & clothing distribution,মিরপুর ২ মসজিদের সামনে,02-47119229,2026-06-20 10:00–16:00,NO,,,,
Event,vaccination-camp-mirpur-3,শিশু ও মা টিকাকরণ — বিনামূল্যে,Free child & maternal vaccination,মিরপুর থানা স্বাস্থ্য কেন্দ্র,333,2026-06-22 08:00–12:00,NO,,,,
Event,skills-training-mirpur-4,সেলাই ও মৌসুমী ব্যবসা প্রশিক্ষণ,Free sewing & seasonal business training,মিরপুর ৬ ব্র্যাক কার্যালয়,16445,2026-06-25 10:00–15:00,NO,,,,
Event,eye-camp-mirpur-5,বিনামূল্যে চোখ পরীক্ষা ও চশমা বিতরণ,Free eye check-up & spectacle distribution,মিরপুর ১০ ওয়ার্ড অফিসের পাশে,333,2026-06-28 09:00–13:00,NO,,,,
